sid,dat,tim,open_value,low,high,close_value,volume
146,2020-05-01,14:23:00,201.6,199.05,207.28,201.98,22109217
146,2020-05-01,14:24:00,201.6,199.05,207.28,202.252,22212864
146,2020-05-01,14:25:00,201.6,199.05,207.28,202.129,22278308
146,2020-05-01,14:26:00,201.6,199.05,207.28,201.89,22343247
146,2020-05-01,14:27:00,201.6,199.05,207.28,201.989,22384476
146,2020-05-01,14:28:00,201.6,199.05,207.28,201.88,22419169
146,2020-05-01,14:29:00,201.6,199.05,207.28,201.97,22441458
146,2020-05-01,14:30:00,201.6,199.05,207.28,201.975,22462306
146,2020-05-01,14:31:00,201.6,199.05,207.28,201.78,22519812
146,2020-05-01,14:32:00,201.6,199.05,207.28,201.87,22540629
146,2020-05-01,14:33:00,201.6,199.05,207.28,201.96,22562265
146,2020-05-01,14:34:00,201.6,199.05,207.28,201.87,22582490
146,2020-05-01,14:35:00,201.6,199.05,207.28,201.83,22614813
146,2020-05-01,14:36:00,201.6,199.05,207.28,201.75,22629808
146,2020-05-01,14:37:00,201.6,199.05,207.28,201.98,22654696
146,2020-05-01,14:38:00,201.6,199.05,207.28,202.01,22675636
146,2020-05-01,14:39:00,201.6,199.05,207.28,202.115,22717570
146,2020-05-01,14:40:00,201.6,199.05,207.28,202.11,22745736
146,2020-05-01,14:41:00,201.6,199.05,207.28,201.91,22803059
146,2020-05-01,14:42:00,201.6,199.05,207.28,201.61,22852868
146,2020-05-01,14:43:00,201.6,199.05,207.28,201.529,22940076
146,2020-05-01,14:44:00,201.6,199.05,207.28,201.31,22980494
146,2020-05-01,14:45:00,201.6,199.05,207.28,201.391,23019056
146,2020-05-01,14:46:00,201.6,199.05,207.28,201.34,23069289
146,2020-05-01,14:47:00,201.6,199.05,207.28,201.34,23099625
146,2020-05-01,14:48:00,201.6,199.05,207.28,201.56,23142402
146,2020-05-01,14:49:00,201.6,199.05,207.28,201.6,23165721
146,2020-05-01,14:50:00,201.6,199.05,207.28,201.62,23202280
146,2020-05-01,14:51:00,201.6,199.05,207.28,201.42,23233195
146,2020-05-01,14:52:00,201.6,199.05,207.28,201.3,23269334
146,2020-05-01,14:53:00,201.6,199.05,207.28,201.43,23306532
146,2020-05-04,10:00:00,200.2,198.76,203.64,203.095,3636192
146,2020-05-04,10:01:00,200.2,198.76,203.64,203.185,3700626
146,2020-05-04,10:02:00,200.2,198.76,203.64,203.375,3748076
146,2020-05-04,10:03:00,200.2,198.76,203.67,203.5,3798666
146,2020-05-04,10:04:00,200.2,198.76,203.98,203.937,3873952
146,2020-05-04,10:05:00,200.2,198.76,204.11,203.85,3959193
146,2020-05-04,10:06:00,200.2,198.76,204.11,203.985,4027890
146,2020-05-04,10:07:00,200.2,198.76,204.22,204.08,4079091
146,2020-05-04,10:08:00,200.2,198.76,204.22,203.95,4149418
146,2020-05-04,10:09:00,200.2,198.76,204.22,203.94,4186962
146,2020-05-04,10:10:00,200.2,198.76,204.22,204.16,4236791
146,2020-05-04,10:11:00,200.2,198.76,204.22,203.875,4276885
146,2020-05-04,10:12:00,200.2,198.76,204.27,204.19,4350118
146,2020-05-04,10:13:00,200.2,198.76,204.52,204.405,4420023
146,2020-05-04,10:14:00,200.2,198.76,204.52,204.26,4454527
146,2020-05-04,10:15:00,200.2,198.76,204.52,204.18,4506439
146,2020-05-04,10:16:00,200.2,198.76,204.52,204.295,4551682
146,2020-05-04,10:17:00,200.2,198.76,204.9,204.883,4614363
146,2020-05-04,10:18:00,200.2,198.76,205,204.96,4682062
146,2020-05-04,10:19:00,200.2,198.76,205,204.915,4738521
146,2020-05-04,10:20:00,200.2,198.76,205,204.445,4795374
146,2020-05-04,10:21:00,200.2,198.76,205,204.32,4835409
146,2020-05-04,10:22:00,200.2,198.76,205,204.13,4882448
146,2020-05-04,10:23:00,200.2,198.76,205,204.38,4932959
146,2020-05-04,10:24:00,200.2,198.76,205,204.11,4974834
146,2020-05-04,10:25:00,200.2,198.76,205,203.945,5028780
146,2020-05-04,10:26:00,200.2,198.76,205,204.025,5102518
146,2020-05-04,10:27:00,200.2,198.76,205,203.78,5160089
146,2020-05-04,10:28:00,200.2,198.76,205,203.94,5210968
146,2020-05-04,10:29:00,200.2,198.76,205,203.548,5260503
146,2020-05-04,10:30:00,200.2,198.76,205,203.74,5307473
146,2020-05-04,10:31:00,200.2,198.76,205,203.75,5334123
146,2020-05-04,10:32:00,200.2,198.76,205,203.63,5356393
146,2020-05-04,10:33:00,200.2,198.76,205,203.46,5396181
146,2020-05-04,10:34:00,200.2,198.76,205,203.465,5430714
146,2020-05-04,10:35:00,200.2,198.76,205,203.596,5467830
146,2020-05-04,10:36:00,200.2,198.76,205,203.57,5493372
146,2020-05-04,10:37:00,200.2,198.76,205,203.115,5536716
146,2020-05-04,10:38:00,200.2,198.76,205,203.23,5582033
146,2020-05-04,10:39:00,200.2,198.76,205,203.22,5604163
146,2020-05-04,10:40:00,200.2,198.76,205,203.345,5627031
146,2020-05-04,10:41:00,200.2,198.76,205,203.73,5673428
146,2020-05-04,10:42:00,200.2,198.76,205,203.9,5730757
146,2020-05-04,10:43:00,200.2,198.76,205,203.86,5761002
146,2020-05-04,10:44:00,200.2,198.76,205,204.16,5804402
146,2020-05-04,10:45:00,200.2,198.76,205,204.15,5843445
146,2020-05-04,10:46:00,200.2,198.76,205,204.2,5892596
146,2020-05-04,10:47:00,200.2,198.76,205,203.945,5926572
146,2020-05-04,10:48:00,200.2,198.76,205,203.85,5954415
146,2020-05-04,10:49:00,200.2,198.76,205,203.84,5971605
146,2020-05-04,10:50:00,200.2,198.76,205,203.77,6002998
146,2020-05-04,10:51:00,200.2,198.76,205,203.54,6037406
146,2020-05-04,10:52:00,200.2,198.76,205,203.3,6082135
146,2020-05-04,10:53:00,200.2,198.76,205,203.18,6127966
146,2020-05-04,10:54:00,200.2,198.76,205,203.35,6174667
146,2020-05-04,10:55:00,200.2,198.76,205,203.395,6208687
146,2020-05-04,10:56:00,200.2,198.76,205,203.38,6238873
146,2020-05-04,10:57:00,200.2,198.76,205,203.41,6261165
146,2020-05-04,10:58:00,200.2,198.76,205,203.37,6288390
146,2020-05-04,10:59:00,200.2,198.76,205,203.37,6317427
146,2020-05-04,11:00:00,200.2,198.76,205,202.98,6362902
146,2020-05-04,11:01:00,200.2,198.76,205,203.08,6402511
146,2020-05-04,11:02:00,200.2,198.76,205,203.28,6425139
146,2020-05-04,11:03:00,200.2,198.76,205,203.4,6446190
146,2020-05-04,11:04:00,200.2,198.76,205,203.428,6470911
146,2020-05-04,11:05:00,200.2,198.76,205,203.39,6494179
146,2020-05-04,11:06:00,200.2,198.76,205,203.64,6530391
146,2020-05-04,11:07:00,200.2,198.76,205,203.646,6552849
146,2020-05-04,11:08:00,200.2,198.76,205,203.58,6595664
146,2020-05-04,11:09:00,200.2,198.76,205,203.555,6623406
146,2020-05-04,11:10:00,200.2,198.76,205,203.46,6653043
146,2020-05-04,11:11:00,200.2,198.76,205,203.48,6684330
146,2020-05-04,11:12:00,200.2,198.76,205,203.64,6705290
146,2020-05-04,11:13:00,200.2,198.76,205,203.825,6743149
146,2020-05-04,11:14:00,200.2,198.76,205,203.62,6789010
146,2020-05-04,11:15:00,200.2,198.76,205,203.68,6813436
146,2020-05-04,11:16:00,200.2,198.76,205,203.68,6807478
146,2020-05-04,11:17:00,200.2,198.76,205,203.68,6807478
146,2020-05-04,11:18:00,200.2,198.76,205,204.092,6831971
146,2020-05-04,11:19:00,200.2,198.76,205,204.07,7004867
146,2020-05-04,11:20:00,200.2,198.76,205,204.2,7044788
146,2020-05-04,11:21:00,200.2,198.76,205,204.03,7091593
146,2020-05-04,11:22:00,200.2,198.76,205,203.89,7134038
146,2020-05-04,11:23:00,200.2,198.76,205,203.64,7167528
146,2020-05-04,11:24:00,200.2,198.76,205,203.964,7206872
146,2020-05-04,11:25:00,200.2,198.76,205,204.08,7244767
146,2020-05-04,11:26:00,200.2,198.76,205,203.93,7267661
146,2020-05-04,11:27:00,200.2,198.76,205,203.461,7309765
146,2020-05-04,11:28:00,200.2,198.76,205,203.3,7349690
146,2020-05-04,11:29:00,200.2,198.76,205,203.39,7374715
146,2020-05-04,11:30:00,200.2,198.76,205,203.29,7400331
146,2020-05-04,11:31:00,200.2,198.76,205,203.5,7440388
146,2020-05-04,11:32:00,200.2,198.76,205,203.545,7472559
146,2020-05-04,11:33:00,200.2,198.76,205,203.4,7496928
146,2020-05-04,11:34:00,200.2,198.76,205,203.265,7522689
146,2020-05-04,11:35:00,200.2,198.76,205,203.35,7556211
146,2020-05-04,11:36:00,200.2,198.76,205,203.8,7601366
146,2020-05-04,11:37:00,200.2,198.76,205,204.002,7641042
146,2020-05-04,11:38:00,200.2,198.76,205,204.135,7684013
146,2020-05-04,11:39:00,200.2,198.76,205,203.98,7717533
146,2020-05-04,11:40:00,200.2,198.76,205,204.12,7750894
146,2020-05-04,11:41:00,200.2,198.76,205,204.25,7827658
146,2020-05-04,11:42:00,200.2,198.76,205,204.15,7852353
146,2020-05-04,11:43:00,200.2,198.76,205,204.145,7874722
146,2020-05-04,11:44:00,200.2,198.76,205,204.37,7912026
146,2020-05-04,11:45:00,200.2,198.76,205,204.45,7954753
146,2020-05-04,11:46:00,200.2,198.76,205,204.6,8009369
146,2020-05-04,11:47:00,200.2,198.76,205,204.43,8038094
146,2020-05-04,11:48:00,200.2,198.76,205,204.377,8057639
146,2020-05-04,11:49:00,200.2,198.76,205,204.377,8057639
146,2020-05-04,11:50:00,200.2,198.76,205,204.377,8109576
146,2020-05-04,11:51:00,200.2,198.76,205,204.345,8156806
146,2020-05-04,11:52:00,200.2,198.76,205,204.33,8169443
146,2020-05-04,11:53:00,200.2,198.76,205,204.19,8201262
146,2020-05-04,11:54:00,200.2,198.76,205,204.16,8221691
146,2020-05-04,11:55:00,200.2,198.76,205,203.98,8243026
146,2020-05-04,11:56:00,200.2,198.76,205,203.825,8275700
146,2020-05-04,11:57:00,200.2,198.76,205,203.925,8313494
146,2020-05-04,11:58:00,200.2,198.76,205,203.88,8338243
146,2020-05-04,11:59:00,200.2,198.76,205,203.7,8372089
146,2020-05-04,12:00:00,200.2,198.76,205,203.69,8393758
146,2020-05-04,12:01:00,200.2,198.76,205,203.914,8422165
146,2020-05-04,12:02:00,200.2,198.76,205,204.12,8453503
146,2020-05-04,12:03:00,200.2,198.76,205,204.066,8477686
146,2020-05-04,12:04:00,200.2,198.76,205,203.9,8493057
146,2020-05-04,12:05:00,200.2,198.76,205,203.86,8508825
146,2020-05-04,12:06:00,200.2,198.76,205,203.73,8523204
146,2020-05-04,12:07:00,200.2,198.76,205,203.56,8551042
146,2020-05-04,12:08:00,200.2,198.76,205,203.45,8588141
146,2020-05-04,12:09:00,200.2,198.76,205,203.525,8614024
146,2020-05-04,12:10:00,200.2,198.76,205,203.796,8655251
146,2020-05-04,12:11:00,200.2,198.76,205,203.86,8694853
146,2020-05-04,12:12:00,200.2,198.76,205,203.55,8721617
146,2020-05-04,12:13:00,200.2,198.76,205,203.63,8745031
146,2020-05-04,12:14:00,200.2,198.76,205,203.35,8775339
146,2020-05-04,12:15:00,200.2,198.76,205,203.425,8815417
146,2020-05-04,12:16:00,200.2,198.76,205,203.53,8835385
146,2020-05-04,12:17:00,200.2,198.76,205,203.42,8865445
146,2020-05-04,12:18:00,200.2,198.76,205,203.53,8891252
146,2020-05-04,12:19:00,200.2,198.76,205,203.625,8926364
146,2020-05-04,12:20:00,200.2,198.76,205,203.36,8959985
146,2020-05-04,12:21:00,200.2,198.76,205,203.54,8978247
146,2020-05-04,12:22:00,200.2,198.76,205,203.505,8997270
146,2020-05-04,12:23:00,200.2,198.76,205,203.49,9017579
146,2020-05-04,12:24:00,200.2,198.76,205,203.5,9044318
146,2020-05-04,12:25:00,200.2,198.76,205,203.55,9067702
